AIPPID,Title,AltTitle,Type,Media Identifier,Medium,Location,Artist(s),Date,Dimensions,Marks,Subject,Owner,Condition,References,HistoricalSubject,PublicSpace,Exterior/Interior,RecordCreationDate,Remarks,Latitude,Longitude,In Progress,Deaccessioned
1,Athena Parthenos,,Sculpture,Gypsum Cement,Gypsum cement reinforced with fiberglass over metal armature on marble base.,Parthenon,"LeQuire, Alan",1990,"41'10"" H",Plaque located on base. Artist name carved on base. Dedication on base.,"Athena Parthenos with shield and spear, holding Nike in right hand. Includes snake representing the people of Athens, Pegasus and Sphinx (on helmut), Medusa (on breastplate), Battle of the Amazons (on shield), and Battle of the Lapiths and Centaurs (on sandles). Base depicts birth of Pandora.",Metropolitan Government of Nashville and Davidson,"Excellent; needs cleaning (dust, grime, guano).",,TRUE,TRUE,FALSE,1/10/97,,36.149862,-86.813458,FALSE,FALSE
2,Serpent,"Dragon, Sea Serpent",Mosaic,Ceramic Tile,Ceramic tile set in concrete reinforced with steel rods and wire mesh.,Fannie Mae Dees Park,"Silva, Pedro",1983,Approx. 12 x 61 x 36 ft,"(In tile on dragon, beneath mouth of serpent, under water fountain:)
PEDRO/SILVA/AND/COMMUNITY/FOLKS/1981/EASTER - signed","A huge sea serpent which appears to be partially submerged beneath the surface of the ground. The serpent's body takes the form of large arches and is used as playground equipment. The surface of the sculpture is covered with cermaic tiles in bright turquoise and primary colors. The tiles form mosaic pictures of various cartoon characters, clowns, animals, etc.
Fantasy -- Monster
Cartoon","Metro Gov. of Nashville & Davidson Co, Parks & Rec","Surveyed 1992 July. Treatment needed. Wire mesh is exposed in some areas, mostly on the underside of the coils. Some tiles have fallen off. Evidence of exposed armature, structural instability, broken parts, cracks, and guano on sculpture.","Save Outdoor Sculpture, Tennessee survey, 1992.
Tennessean (Nashville TN) 12/14/79, pg. 64.
Johnson, Leland R., ""The Parks of Nashville""; Metro Nashville & Davidson County Board of Parks and Recreation, 1986; pg. 237.",FALSE,TRUE,TRUE,1/10/97,"Created by Pedro Silva with the help of volunteers from the community. 
IAS files contain a related article from Tennessean (Nashville, TN), Dec.14, 1979, pg. 64, which discusses the commissioning of this piece. For a related article see Johnson, Leland R., ""The Parks of Nashville,"" Metropolitan Nashville & Davidson County Board of Parks and Recreation, 1986, pg. 237.",36.136887,-86.806213,FALSE,FALSE
7,"Industry, Agriculture, Commerce, Statesmanship",,Mural,Paint,,Metro Courthouse,"Cornwell, Dean",1937,,,"The murals in the main lobby of the Davidson County Courthouse feature heroic figures representing Industry, Agriculture, Commerce, and Statesmanship superimposed over maps of Nashville and Davidson County.",Metropolitan Government of Nashville and Davidson,,"The Tennessee Encyclopedia of History & Culture, TN Historical Society, 1998
www.askart.com",FALSE,TRUE,FALSE,1/10/97,"1892-1960, Illustrator and mural painter
The Public Works Administration funded the construction of the building during the New Deal era.  Created under the auspices of President Franklin D. Roosevelt's New Deal cultural programs. 
Suggested reading: Patricia J. Broder, Dean Cornwell, Dean of Illustrators (1978)",36.16756,-86.778598,FALSE,FALSE
12,Confederate Private Monument,Sam Davis Monument,Monument,Bronze,Bronze on a limestone and granite base,Centennial Park,"Zolnay, George Julian",1909,Sculpture-approx 6ft 3ft 2ft 5in; Base-approx 7ft 7in x 76in x 102in,"(On south, front of base, carved into stone:)  Duty Done Honor Won 1861-1865 (On east side of base, carved in stone:) To the Heroism of the Private Confederate Soldier (On west, side of base, carved into stone:)  Erected 1909 by (Under date, on bronze plaque:)  Frank Cheatham BIVOUAC #1 Association of Confederate Soldiers Camp #35 UCV Nashville Tennessee (On north, back of base, carved into stone)  Faithful to the End  (A plaque on the west side of the base lists the names of the members of the Frank Cheatham Bivouac.)  unsigned","A seated portrait of Sam Davis, a boy hero of the Confederate Army. Davis wears a military uniform and holds the barrel of a rifle in his proper right hand. The butt of the rifle rests on the rocky stone ledge on which Davis is seated. He faces forward with his proper left hand resting between his knees. Davis is seated on a rough-cut stone atop a tapering base.
Portrait male -- Davis, Sam - Full length
History -- United States -- Civil War
Occupation -- Military -- Soldier
Dress -- Uniform -- Military Uniform
Object -- Weapon -- Gun","Metro Gov. of Nashville & Davidson Co, Parks & Rec","Surveyed April 1992. Treatment needed. Green streaked patina on sculpture. Evidence of guano, black crusts, and metallic staining on sculpture. Part of base is broken and missing. Evidence of cracks in lower right corner of base and yellow jacket nest in upper right corner of base. Evidence of black crusts, metallic staining, white crusts, and a chalky or powdery surface on base.","Save Outdoor Sculpture, Tennessee survey, 1992
Johnson, Leland R., ""The Parks of Nashville,"" pg. 264-267.",TRUE,TRUE,TRUE,1/27/97,"IAS files contain a related article from Johnson, Leland R., ""The Parks of Nashville,"" which lists the names inscribed on the monument. The cornerstone was placed in June 1904. The monument is meant to symbolize the heroism of the Confederate private soldier. 
Zolnay, George Julian, 1863-1949, sculptor",36.147880,-86.812608,FALSE,FALSE
129,Tennessee Vietnam Veteran's Memorial,,Monument,Bronze,Bronze with a green patina on a granite base.,Tennessee Legislative Plaza,"LeQuire, Alan",1985,Sculpture: approx. H. 8 1/2ft. Diam. 9 ft.;  Base: approx. 2x20x20 ft.,"(On proper right figure, on dogtag:) NWHB 1/XNTW 
(On standing figure's gun holster:) US 
(On standing figure's pouch:) ASB","Three bronze soldiers dressed in different uniforms from the Vietnam War. The figures are arranged on a circular bronze plinth. A standing soldier in the back center of the plinth wears a helmet and holds a gun in both hands. He looks over his proper right shoulder. To his proper right is a soldier kneeling on one knee, wearing a combat helmet, and holding a rifle. Another soldier kneels to his proper left, wearing no hat and holding a rifle. The figures are positioned on a roughly circular bronze plinth on a granite base.
History--United States--Vietnam War
Occupation--Military--Soldier
Dress--Uniform--Military Uniform
Object--Weapon--Gun
Figure group--Male","State of Tennessee, General Services Dept.",Surveyed 1992 January. Well maintained. The gun barrel is broken off of the rifle held by the kneeling figure on the proper right. The radio antenna is missing from the radio which the kneeling figure on the proper left is wearing on his uniform.,"Save Outdoor Sculpture, Tennessee survey, 1992",TRUE,TRUE,TRUE,10/8/97,"Hodgson, Joseph, Landscape architect
Modern Art Foundry, founder.
Dedicated May 26, 1986",36.163882,-86.783334,FALSE,FALSE
130,Andrew Jackson,,Sculpture,Bronze,Bronze sculpture with patina on a Tennessee marble base.,Tennessee State Capitol,"Mills, Clark",1880,Sculpture: 12x10x3 1/2ft; base: 16x15x9ft,"(On base, front cente, in raised letters;) JACKSON (On bronze plaque, front of base:) ANDREW JACKSON/BORN MARCH 15, 1767 DIED JUNE 8, 1845/SEVENTH PRESIDENT OF THE UNITED STATES 1829-1837/COMMANDER OF VICTORIOUS AMERICAN FORCES AT BATTLE OF NEW ORLEANS JANUARY 8, 1815/THE EQUESTRIAN STATUE BY CLARK MILLS WAS ERECTED BY THE TENNESSEE HISTORICAL SOCIETY, MAY 20, 1880/DUPLICATES OF THE STATUE STAND IN NEW ORLEANS, L.A. AND WASHINGTON D.C.","A portrait sculpture of Andrew Jackson on a rearing horse. Jackson and the horse face to the proper right. The horse appears excited as if in battle. The horse is balanced on his two hind legs. His mane and tail appear to be blowing in the wind. Jackson wears a military uniform with a long coat, and holds a hat in his proper right hand. A sword hangs from the proper left side of his waist. The horse and rider are affixed to a 4 ft. diameter bronze plinth atop a tiered Tennessee marble base.
Portrait male -- Jackson, Andrew -- Full length
Occupation -- Political -- President -- Military -- General -- Political -- Statesman  --  Equestrian
Dress -- Uniform -- Military Uniform
Object -- Weapon -- Sword","State of Tennessee, General Services Dept.",Surveyed 1992 March. Treatment needed. The patina of the sculpture is not in good condition and needs cleaning. A chain on Jackson's outfit at the waist is broken and hanging. The stone base is missing mortar at some joints and has some cracks.,"Indes of American Sculpture, University of Delaware, 1985
Tennessee State Library and Archives, 1977.
Save Outdoor Sculpture, Tennessee survey, 1992.
Craven, Wayne, ""Sculpture in America,"" Newark: University of Delaware Press, 1984, pg. 168-174.",TRUE,TRUE,TRUE,10/8/97,"Mills, Clark, 1810-1883, sculptor
Cast late 1870s. Dedicated May 1880.",36.166086,-86.783661,FALSE,FALSE
131,Sergeant Alvin C. York,,Sculpture,Bronze,Bronze with green patina on green Swedish granite.,Tennessee State Capitol,"de Weldon, Felix",1968,Sculpture: 10x2 1/2x5 1/2ft; plinth: 6inx2 1/2ftx5ft4in; b: 2 1/2x3x6ft,"Felix de Weldon/sc 1968 (On figure's belted pistol cse:) US (On figure's collar:) US (On left side of granite base:) ALVIN C. YORK/1887-1964/PALL MALL FENTRES COUNTY/TENNESSEE (On right side of granite base:) FELIX DE WELDON/SCULPTOR/MONUMENT ERECTED 1968/BY ACT OF THE GENERAL ASSEMBLY/OF THE STATE OF TENNESSEE (On back side of granite base:) WHAT YOU DID WAS THE GREATEST THING ACCOMPLISHED/BY ANY PRIVATE SOLDIER OF ALL THE ARMIES OF EUROPE./MARSHAL FERDINAND FOCH/COMMANDER-IN-CHIEF ALLIED ARMIES (On front side of base:) ALVIN C. YORK/ARMED WITH HIS RIFLE AND PISTOL, HIS COURAGE AND SKILL THIS ONE TENNESSEAN/SILENCED A GERMAN BATTALION OF 35 MACHINE GUNS KILLING 25 ENEMY SOLDIERS AND/CAPTURING 132 IN THE ARGONNE FOREST OF FRANCE, OCTOBER 8, 1918.","A full length portrait of Sergeant Alvin C. York, a WWI soldier. He stands with feet wide apart and has a rifle raised to his proper right shoulder as if he's about to shoot. He wears a combat uniform which includes a helmet, boots, wrapped leg coverings from ankle to knee, a belt with amunition packs, a canteen, and a bayonet bag. On his chest is a square bag. The sculpture stands on a rectangular green Swedish granite base.
Portrait male -- York, Alvin Cullam -- Full length
Occupation -- Military -- Soldier
History -- United States -- World War I
Dress -- Uniform -- Military Uniform
Object -- Weapon -- Gun","State of Tennessee, General Services Dept.","Surveyed 1992 April. Treatment needed. There is a crack in the bronze base and at the bottom of the water container affixed to the figure's belt. There are a few areas of rust and beige spots on sculpture. The black patina is wearing off the figure's bronze base. On the base, some mortar is missing from between the slabs of granite and parts of some of the slabs are broken or cracked.","Save Outdoor Sculpture, Tennessee survey, 1992.",TRUE,TRUE,TRUE,10/8/97,"de Weldon, Felix George Weihs, 1907-   , sculptor
Dedicated Dec. 1968.",36.165605,-86.782755,FALSE,FALSE
132,Polarbears with Snowballs,,Sculpture,Unknown,Plaster,Corner of Edgehill and 12th Ave S,Unknown,,,,Two polarbears who appear to be in a snowball fight.,"Metro Gov. of Nashville & Davidson Co, Parks & Rec",,,FALSE,TRUE,TRUE,10/8/97,"Some sources believe that these polarbears originally stood in front of an old ice house in Nashville. Since then, they stood in the front yard of a private residence in the Edgehill neighborhood, before they were bought by the city government and placed in their current location.",36.142610,-86.786797,FALSE,FALSE
134,Parthenon East Pediment,East Pediment of the Parthenon,Sculpture,Concrete,Concrete over a steel armature,Parthenon,"Kinney, Belle and Scholz, Leopold",1920-1930,Approx. 10 x 110 x 4 ft,,"Pedimental sculpture which depicts the birth of Athena.  The Olympian gods depicted include Helios, Dionysus, Persephone, Demeter, Poseidon, Hephaestus, Zeus, Nike, Athena, Hera, Ares, Hermes, Apollo, Ganymede, Hestia, Aphrodite, and Selene.  Mythology -- Classical -- Athena, Helios, Dionysus, Perephone, Demeter, Poseidon, Hephaestus, Zeus, Nike, Hera, Ares, Hermes, Apollo, Ganymede, Hestia, Aphrodite, and Selene.",Metropolitan Government of Nashville and Davidson,Surveyed 1992 August.   Treatment needed.  Sculpture is cracked in many places and some parts are broken off.  Rust stained metal armature is evident in some areas.  Some figures have been wrapped in black plastic.  A wire mesh has been placed over the whole pediment to keep pieces from falling on pedestrians.  Evidence of guano on sculpture.,"Save Outdoor Sculpture, Tennessee survey, 1992
Tennessean (Nashville, TN).  Sept. 3, 1992.  Pg. 1D.",TRUE,TRUE,TRUE,10/8/97,"The Parthenon in Nashville is a replica of the ancient Greek temple and was opened to the public in 1931.  IAS files contain a related article from Tennessean (Nashville, TN), Sept. 3, 1992, which discusses the condition of the piece and plans for restoration.
Kinney, Belle, 1890-1959, sculptor
Scholz, Leopold F., 1877-1946, sculptor
Hart, Russel E., architect",36.150066,-86.813077,FALSE,FALSE
136,John W. Thomas,,Monument,Bronze,"Sculpture: bronze;  
Base: stone on a concrete platform",Centennial Park,"Yandell, Enid",1907,Sculpture 10x3ft; Base11.5x11ft 1in x11ft 1in; Platform 40ft 2in x 40ft 3in,"Henry Bonnard Bronze Co. (On lower right hand corner of each of three bronze plaques on base;) Enid Yandell (date) (On plaque on base:) John W. Thomas 1830-1906/A native of Nashville. Forty-eight years in the service of the Nashville, Chattanooga & St. Louis Railway; President for twenty-two years; President of the Centennial Exposition which resulted in securing to Nashville this Park. A worthy man in all the lines of life.  An efficient man of affairs.  An upright and eminent citizen. A Chrisitan and a gentleman. A friend and a brother. This memorial is erected by the employees of the Nashville, Chattanooga & St. Louis Railway.  1907 - signed Founder's mark appears.","A bronze full length portrait of John W Thomas, the President of the 1897 Centennial Exposition of TN.  Thomas stands with his left foot forward and his right hand outstretched. He holds a cape in his left hand and wears a suit with knee-length jacket. The statue rests on a stone base with four rectangular bronze plaques. On one side of the statue the bronze plaque depicts in relief a seated woman turned to the side . She wears a long dress and holds a paper diagram or blueprint. She holds a torch in one hand and wears a crown on her head. On the other side is a bronze plaque depicting in relief a seated woman facing front. She wears long robes and appears to hold a statue in one hand. The monument is set on a concrete platform. The platform has two stone benches positioned at each cardinal direction, with a round bronze plaque between each of the two benches indicating the direction.  Also at each corner of the platform is an 8ft doric column topped by an 18in bronze and glass lantern. There are five steps on each side of the platform. 
Portrait male -- Thomas, John W. -- Full length
Occupation -- Other -- Businessman
Figure female","Metro Gov. of Nashville & Davidson Co, Parks & Rec",Surveyed 1992 July. Treatment needed. Evidence of black crusts and graffiti on sculpture. Water collects in recessed areas. Evidence of cracks in concrete base platform. Evidence of black crusts and graffiti base. The steps are separating from the platform and the concrete flooring of the base platform is sinking. Some of the inscriptions are badly worn or unreadable.,"Save Outdoor Sculpture, TN Survey, 1992
Smith, Leland, ""The Parks of Nashville - A History of the Board of Parks and Recreation,"" Metro Nashville Board of Parks and Recreation, 1986",TRUE,TRUE,TRUE,10/8/97,"Yandell, Enid, 1870-1934, sculptor
Henry-Bonnard Bronze Company, founder
For a related article see Smith, Leland, ""The Parks of Nashville - A History of the Board of Parks and Recreation,"" Metropolitan Nashville & Davidson County Board of Parks and Recreation, 1986.",36.148877,-86.813567,FALSE,FALSE
